ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
9400ZZNONGT2,ntmwtpda,,,NG2 Tram Stop,,,,NG2 Business Park,,Enterprise Way,,,,NET W-bound,,,N0060172,Lenton Lane Industrial Estate,Nottingham,,Nottingham,,,,0,U,456196,338595,-1.16522019,52.94181446,PLT,,,,,,147,2014-11-06T10:50:00,2014-11-06T14:16:00,1,rev,act
9400ZZNONLE,,,,Noel Street Tram Stop,,,,Noel Street,,Noel Street,,,,,,,E0040133,Hyson Green,Nottingham,,Nottingham,,Hyson Green,,1,U,455937,341415,-1.168587968,52.96718842,MET,,,,,,147,2006-04-13T00:00:00,2009-03-18T16:44:00,1,rev,act
9400ZZNONLE1,ntmatwda,,,Noel Street Tram Stop,,,,Noel Street,,Noel Street,,,,NET14,,,E0040133,Hyson Green,Nottingham,,Nottingham,,Hyson Green,,1,U,455929,341429,-1.168704654,52.96731509,PLT,,,,,,147,2006-04-13T00:00:00,2009-08-21T11:02:00,5,rev,act
9400ZZNONLE2,,,,Noel Street Tram Stop,,,,Terrace Street,,Noel Street,,,,Platform 2,,,E0040133,Hyson Green,Nottingham,,,,,,0,U,455927,341366,-1.16874529,52.96674904,PLT,,,,,,147,2004-10-24T00:00:00,2009-03-18T16:46:00,2,rev,del
9400ZZNODVL,,,,David Lane Tram Stop,,,,David Lane,,Vernon Road,,,,,,,N0073055,Basford,Nottingham,,Nottingham,,Basford,,1,U,455003,343372,-1.182161022,52.98487491,MET,,,,,,147,2006-04-13T00:00:00,2009-03-18T16:35:00,1,rev,act
9400ZZNODVL1,ntmatwgj,,,David Lane Tram Stop,,,,David Lane,,Vernon Road,,,,NET23,,,N0073055,Basford,Nottingham,,Nottingham,,Basford,,1,U,455005,343374,-1.182130896,52.98489268,PLT,,,,,,147,2006-04-13T00:00:00,2009-08-21T11:15:00,3,rev,act
9400ZZNODVL2,ntmatwgm,,,David Lane Tram Stop,,,,David Lane,,Vernon Road,,,,NET24,,,N0073055,Basford,Nottingham,,Nottingham,,Basford,,1,U,455011,343378,-1.182040855,52.98492802,PLT,,,,,,147,2006-04-13T00:00:00,2009-08-21T11:16:00,3,rev,act
9400ZZNOGRE,,,,Gregory Street Tram Stop,,,,The Red Cow (ph),,Lenton Lane,,,,,,,N0073065,Lenton,Nottingham,,Nottingham,,,,0,U,455399,338815,-1.177041119,52.94387457,MET,,,,,,147,2014-11-06T10:11:00,2014-11-06T14:06:00,1,rev,act
9400ZZNOGRE1,ntmwtpgj,,,Gregory Street Tram Stop,,,,The Red Cow (ph),,Lenton Lane,,,,NET E-bound,,,N0073065,Lenton,Nottingham,,Nottingham,,,,0,U,455399,338817,-1.177040778,52.94389254,PLT,,,,,,147,2014-11-06T10:12:00,2014-11-06T14:06:00,1,rev,act
9400ZZNOGRE2,ntmwtpgd,,,Gregory Street Tram Stop,,,,The Red Cow (ph),,Lenton Lane,,,,NET W-bound,,,N0073065,Lenton,Nottingham,,Nottingham,,,,0,U,455399,338813,-1.17704146,52.94385659,PLT,,,,,,147,2014-11-06T10:17:00,2014-11-06T14:06:00,1,rev,act
9400ZZNOHBV,,,,Highbury Vale Tram Stop,,,,Highbury Vale,,Highbury Vale,,,,,,,E0040132,Highbury Vale,Nottingham,,Nottingham,,Highbury Vale,,1,U,454472,343902,-1.189980484,52.98969282,MET,,,,,,147,2006-04-13T00:00:00,2009-03-18T16:36:00,1,rev,act
9400ZZNOHBV1,ntmatwgp,,,Highbury Vale Tram Stop,,,,Highbury Vale,,Highbury Vale,,,,NET25,,,E0040132,Highbury Vale,Nottingham,,Nottingham,,Highbury Vale,,1,U,454484,343908,-1.189800731,52.98974553,PLT,,,,,,147,2006-04-13T00:00:00,2010-11-16T10:11:00,4,rev,act
9400ZZNOHBV2,ntmatwgt,,,Highbury Vale Tram Stop,,,,Highbury Vale,,Highbury Vale,,,,NET26,,,E0040132,Highbury Vale,Nottingham,,Nottingham,,Highbury Vale,,1,U,454493,343917,-1.189665159,52.98982551,PLT,,,,,,147,2006-04-13T00:00:00,2010-11-16T10:11:00,4,rev,act
9400ZZNOHBV3,ntmatwgw,,,Highbury Vale Tram Stop,,,,Highbury Vale Branch Off,,Highbury Vale,,,,NET27,,,E0040132,Highbury Vale,Nottingham,,Nottingham,,Highbury Vale,,1,U,454443,343869,-1.190417993,52.98939914,PLT,,,,,,147,2006-04-13T00:00:00,2010-11-16T10:11:00,5,rev,act
9400ZZNOHBV4,ntmatwja,,,Highbury Vale Tram Stop,,,,Highbury Vale Branch Off,,Highbury Vale,,,,NET28,,,E0040132,Highbury Vale,Nottingham,,Nottingham,,Highbury Vale,,1,U,454446,343876,-1.190372131,52.98946176,PLT,,,,,,147,2006-04-13T00:00:00,2010-11-16T10:12:00,5,rev,act
9400ZZNOHGM,,,,Hyson Green Market Tram Stop,,,,St Paul's Avenue,,Radford Road,,,,,,,E0040133,Hyson Green,Nottingham,,Nottingham,,Hyson Green,,0,U,455792,341296,-1.170767124,52.96613389,MET,,,,,,147,2006-04-13T00:00:00,2009-03-18T16:37:00,1,rev,act
